Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
employed,,Diploma,Healthcare,rural,moderate,,44200.0,4/14/2023
employed,45-54,Bachelors,Retail,urban,High,0.0,137100.0,4/15/2023
Employed,18-24,Master,Health,urban,High,,,4/16/2023
Unemployed,25-34,Bachelors,Health,urban,Low,16.0,73800.0,4/17/2023
EMPLOYED,25-34,Master,Retail,urban,Low,,,4/18/2023
Employed,18 to 24,Diploma,Tech ,Delhi,High,,40300.0,4/19/2023
,18-24,Masters,Healthcare,Mumbai,Medium,26.0,25900.0,4/20/2023
,25_34,,Education,,HIGH,5.0,68500.0,4/21/2023
unemployed,35 - 44,Ph.D,Finance,Delhi,low,28.0,44700.0,4/22/2023
unemployed,18 to 24,PhD,Health,urban,High,10.0,20200.0,4/23/2023
Employed,25-34,,,urban,Medium,1.0,130200.0,4/24/2023
Employed,25-34,Masters,Education,suburban,low,15.0,7600.0,4/25/2023
unemployed,45-54,High School,Finance,Delhi,low,,109500.0,4/26/2023
employed,25-34,PhD,Retail,Urban,Low,,26900.0,4/27/2023
EMPLOYED,35 - 44,High School,Technology,rural,Low,7.0,21000.0,4/28/2023
,25_34,,Finance,Urban,Medium,,5400.0,4/29/2023
employed,18 to 24,PhD,,Mumbai,High,,35200.0,4/30/2023
employed,18-24,Masters,Healthcare,suburban,moderate,,,5/1/2023
Employed,45-54,PhD,Tech ,Hyderabad,High,18.0,10500.0,5/2/2023
,45-54,High School,Healthcare,Urban,HIGH,0.0,123100.0,5/3/2023
Employed,,High School,Technology,Mumbai,Medium,8.0,43400.0,5/4/2023
employed,45-54,,Finance,,Medium,20.0,79000.0,5/5/2023
EMPLOYED,25_34,Diploma,Education,urban,High,,125300.0,5/6/2023
UNEMPLOYED,25_34,Ph.D,Tech ,urban,Medium,23.0,11500.0,5/7/2023
unemployed,55+,PhD,Technology,,Medium,,,5/8/2023
employed,,High School,Health,Bangalore,Low,6.0,,5/9/2023
unemployed,35 - 44,High School,Retail,Hyderabad,moderate,,23500.0,5/10/2023
UNEMPLOYED,18 to 24,Bachelor's,Education,Delhi,,,54800.0,5/11/2023
,35 - 44,Bachelors, Fintech,,Medium,,140000.0,5/12/2023
unemployed,18 to 24,Master, Fintech,Urban,Low,,,5/13/2023
,45-54,High School,Retail,Urban,HIGH,,110800.0,5/14/2023
employed,25_34,Masters,Finance,suburban,,11.0,67000.0,5/15/2023
employed,25_34,high school,Finance,Bangalore,,,109800.0,5/16/2023
Employed,45-54,PhD,Healthcare,Urban,low,,,5/17/2023
employed,18 to 24,Bachelor's,Retail,Bangalore,,18.0,,5/18/2023
Unemployed,35 - 44,Masters,Retail,Mumbai,Medium,,65300.0,5/19/2023
EMPLOYED,35 - 44,High School,Technology,urban,Low,,76500.0,5/20/2023
employed,25-34,,Technology,Hyderabad,Low,5.0,141000.0,5/21/2023
EMPLOYED,18-24,Diploma,Healthcare,Delhi,HIGH,,8000.0,5/22/2023
Unemployed,25_34,,Health,Bangalore,,,52800.0,5/23/2023
Employed,25_34,Bachelors,Education,suburban,,,96300.0,5/24/2023
employed,,,Retail,Bangalore,HIGH,0.0,103700.0,5/25/2023
EMPLOYED,25_34,Bachelors,Education,rural,Low,,100700.0,5/26/2023
Unemployed,18 to 24,Masters, Fintech,Urban,HIGH,17.0,122200.0,5/27/2023
unemployed,25-34,high school, Fintech,,moderate,,,5/28/2023
employed,25-34,,Healthcare,rural,,,22700.0,5/29/2023
EMPLOYED,18 to 24,PhD,Healthcare,urban,Medium,28.0,,5/30/2023
Unemployed,18-24,Bachelor's,Tech ,Bangalore,moderate,,89900.0,5/31/2023
employed,18-24,Master,,Delhi,low,30.0,65200.0,6/1/2023
employed,18-24,High School,Health,Delhi,HIGH,,,6/2/2023
Employed,25-34,Diploma,Retail,Hyderabad,HIGH,,97100.0,6/3/2023
,18 to 24,high school,Education,Bangalore,,5.0,40400.0,6/4/2023
Employed,18 to 24,Masters,Retail,suburban,High,,102600.0,6/5/2023
Unemployed,55+,Master,Retail,urban,HIGH,,125900.0,6/6/2023
UNEMPLOYED,25_34,, Fintech,Bangalore,,5.0,135500.0,6/7/2023
Employed,55+,Master,Education,rural,Medium,,,6/8/2023
EMPLOYED,25_34,Bachelors,Education,Hyderabad,,0.0,22400.0,6/9/2023
UNEMPLOYED,45-54,,Health,,moderate,,50000.0,6/10/2023
employed,55+,Bachelor's,Health,Urban,,,81200.0,6/11/2023
Employed,55+,Masters,Retail,,HIGH,,119200.0,6/12/2023
employed,35 - 44,Diploma,Retail,Hyderabad,HIGH,,106600.0,6/13/2023
Employed,18 to 24,Masters,Health,Mumbai,moderate,3.0,44700.0,6/14/2023
,25-34,Diploma,Education,Bangalore,moderate,19.0,37600.0,6/15/2023
unemployed,18-24,Bachelors,Health,Hyderabad,HIGH,,131300.0,6/16/2023
employed,,PhD,Education,suburban,Medium,,118300.0,6/17/2023
employed,25_34,Ph.D,Retail,Urban,low,,75300.0,6/18/2023
Unemployed,55+,Diploma,Technology,,HIGH,19.0,53300.0,6/19/2023
unemployed,18-24,Bachelors,Health,urban,low,,88400.0,6/20/2023
Unemployed,55+,Master,Education,Mumbai,Low,19.0,110800.0,6/21/2023
unemployed,55+,Bachelors,Education,Hyderabad,Low,28.0,115100.0,6/22/2023
employed,25_34,Bachelors,Education,Hyderabad,,9.0,11800.0,6/23/2023
EMPLOYED,55+,high school,Retail,,HIGH,,41000.0,6/24/2023
unemployed,35 - 44,Ph.D,Retail,Urban,HIGH,23.0,16400.0,6/25/2023
unemployed,,Masters,Tech ,Hyderabad,Low,18.0,80100.0,6/26/2023
UNEMPLOYED,25_34,high school,Retail,Urban,,26.0,,6/27/2023
Unemployed,45-54,,Retail,Urban,HIGH,,21200.0,6/28/2023
unemployed,18-24,high school,Technology,urban,Low,,12500.0,6/29/2023
UNEMPLOYED,45-54,PhD,Retail,suburban,High,,70700.0,6/30/2023
Unemployed,18-24,high school,Retail,suburban,low,29.0,96000.0,7/1/2023
employed,18-24,Masters,Health,suburban,low,,123200.0,7/2/2023
employed,25-34,Master,,suburban,,,,7/3/2023
Unemployed,35 - 44,Ph.D,Healthcare,Urban,Medium,5.0,54200.0,7/4/2023
Unemployed,55+,Masters,Healthcare,suburban,Medium,,24000.0,7/5/2023
UNEMPLOYED,55+,Bachelor's,Health,rural,,,65100.0,7/6/2023
,25-34,Masters,,suburban,HIGH,,85900.0,7/7/2023
,,Bachelor's,Health,suburban,HIGH,,67000.0,7/8/2023
unemployed,55+,Bachelor's,Finance,Mumbai,moderate,,114100.0,7/9/2023
EMPLOYED,25-34,High School,Education,Mumbai,Medium,,30100.0,7/10/2023
Unemployed,,Bachelor's,Technology,Bangalore,Low,17.0,139100.0,7/11/2023
unemployed,,High School,Retail,rural,High,,140500.0,7/12/2023
Unemployed,18 to 24,Bachelors,Health,Hyderabad,Low,,60500.0,7/13/2023
Employed,18-24,High School,Tech ,Delhi,Low,,58000.0,7/14/2023
employed,,Diploma,Finance,Mumbai,moderate,24.0,118200.0,7/15/2023
employed,18-24,High School,Tech ,Mumbai,High,29.0,77200.0,7/16/2023
Employed,45-54,Bachelor's,Finance,urban,High,24.0,96400.0,7/17/2023
employed,25-34,Bachelor's,Technology,suburban,Medium,14.0,,7/18/2023
Unemployed,18 to 24,Master,Retail,Delhi,High,,,7/19/2023
Employed,55+,Diploma,Education,Urban,low,,116300.0,7/20/2023
EMPLOYED,45-54,Bachelor's,Retail,,Medium,29.0,,7/21/2023
employed,18-24,,Education,Mumbai,Medium,,66400.0,7/22/2023
,25-34,Diploma, Fintech,Mumbai,Medium,13.0,32900.0,7/23/2023
unemployed,35 - 44,,Health,Urban,Medium,,125900.0,7/24/2023
EMPLOYED,18-24,,,Urban,moderate,22.0,82700.0,7/25/2023
,55+,Bachelors,Retail,Bangalore,HIGH,6.0,,7/26/2023
unemployed,35 - 44,,,rural,,28.0,102300.0,7/27/2023
EMPLOYED,25_34,PhD,Health,Delhi,HIGH,,121300.0,7/28/2023
,18-24,PhD,Education,,Low,20.0,64500.0,7/29/2023
unemployed,25-34,Diploma,Retail,Urban,Low,,75200.0,7/30/2023
unemployed,45-54,Bachelor's,Health,rural,moderate,11.0,74200.0,7/31/2023
Unemployed,55+,Masters,Tech ,suburban,moderate,18.0,127100.0,8/1/2023
employed,25-34,high school,Education,rural,High,14.0,68600.0,8/2/2023
EMPLOYED,25-34,Diploma,Health,Delhi,,,,8/3/2023
,25_34,PhD,Technology,Mumbai,,,37700.0,8/4/2023
employed,35 - 44,Bachelor's,Health,Delhi,low,,76000.0,8/5/2023
Employed,,PhD,Education,Delhi,High,24.0,,8/6/2023
EMPLOYED,55+,Ph.D,Education,Hyderabad,HIGH,21.0,31500.0,8/7/2023
unemployed,25_34,Bachelors,Healthcare,rural,Low,,126700.0,8/8/2023
UNEMPLOYED,55+,Ph.D,Finance,Hyderabad,,0.0,,8/9/2023
,35 - 44,Diploma,Tech ,Mumbai,Low,13.0,6500.0,8/10/2023
,45-54,Bachelors,Retail,Hyderabad,HIGH,,45500.0,8/11/2023
Employed,18-24,Bachelor's,Retail,Hyderabad,Medium,20.0,22300.0,8/12/2023
,18 to 24,,Technology,Urban,HIGH,,6500.0,8/13/2023
UNEMPLOYED,45-54,high school,Health,Urban,High,,,8/14/2023
Employed,25_34,Master,Technology,Hyderabad,High,27.0,,8/15/2023
Unemployed,,,Retail,urban,High,22.0,107400.0,8/16/2023
unemployed,,Bachelor's,Technology,Bangalore,Low,,83800.0,8/17/2023
unemployed,18 to 24,high school,Retail,Delhi,HIGH,25.0,70400.0,8/18/2023
EMPLOYED,25_34,Ph.D,Tech ,Hyderabad,Low,2.0,105700.0,8/19/2023
Unemployed,35 - 44,Diploma,,Mumbai,moderate,10.0,11300.0,8/20/2023
EMPLOYED,25-34,high school,Education,,moderate,,,8/21/2023
UNEMPLOYED,45-54,,Healthcare,Urban,High,22.0,,8/22/2023
Unemployed,18 to 24,Bachelor's,Finance,Delhi,High,7.0,17600.0,8/23/2023
unemployed,,Master,Retail,urban,moderate,,8000.0,8/24/2023
Employed,,Masters,Finance,Delhi,HIGH,29.0,,8/25/2023
employed,45-54,,Education,Mumbai,Low,28.0,7100.0,8/26/2023
unemployed,18-24,Ph.D,Tech ,,Low,27.0,35500.0,8/27/2023
unemployed,45-54,PhD,Finance,,Low,0.0,96600.0,8/28/2023
EMPLOYED,45-54,Ph.D,Tech ,,HIGH,,136200.0,8/29/2023
employed,,Masters,Healthcare,,HIGH,15.0,35100.0,8/30/2023
unemployed,,Bachelor's,Education,Mumbai,High,,39900.0,8/31/2023
employed,,Diploma,Retail,Bangalore,High,,77600.0,9/1/2023
,18-24,Masters,Retail,Delhi,,7.0,15000.0,9/2/2023
,18 to 24,Bachelor's,Healthcare,urban,Low,,92500.0,9/3/2023
unemployed,25-34,Masters,Healthcare,rural,High,,106800.0,9/4/2023
Unemployed,18 to 24,Bachelors,Tech ,Urban,Medium,,79900.0,9/5/2023
,25_34,Bachelor's, Fintech,Bangalore,moderate,,125300.0,9/6/2023
UNEMPLOYED,25-34,Bachelor's, Fintech,Hyderabad,High,,,9/7/2023
unemployed,25-34,Master,Tech ,Hyderabad,Medium,23.0,102200.0,9/8/2023
employed,45-54,Bachelors,,Urban,High,,82300.0,9/9/2023
employed,25-34,Ph.D,Healthcare,Mumbai,low,23.0,102800.0,9/10/2023
employed,18-24,,Education,suburban,High,17.0,84100.0,9/11/2023
employed,18 to 24,Master,Health,Hyderabad,low,6.0,68500.0,9/12/2023
Unemployed,,High School, Fintech,Hyderabad,Medium,,,9/13/2023
,18-24,Bachelor's,Tech ,suburban,moderate,1.0,126900.0,9/14/2023
EMPLOYED,,high school,,Urban,moderate,6.0,120300.0,9/15/2023
Employed,18 to 24,Master,Tech ,urban,Low,,37000.0,9/16/2023
Employed,25_34,PhD,Retail,Bangalore,HIGH,,119400.0,9/17/2023
EMPLOYED,18 to 24,Ph.D,Healthcare,rural,,30.0,144200.0,9/18/2023
Employed,,Bachelors,Finance,,moderate,29.0,37500.0,9/19/2023
employed,35 - 44,Diploma,Health,,Medium,,26100.0,9/20/2023
UNEMPLOYED,35 - 44,Master,Finance,,,3.0,104000.0,9/21/2023
EMPLOYED,45-54,high school,Education,Bangalore,High,6.0,66200.0,9/22/2023
unemployed,18 to 24,Diploma, Fintech,,moderate,8.0,106700.0,9/23/2023
unemployed,55+,Bachelors, Fintech,Hyderabad,Medium,5.0,88000.0,9/24/2023
EMPLOYED,25-34,Bachelors,Tech ,Hyderabad,HIGH,26.0,103000.0,9/25/2023
EMPLOYED,18-24,Ph.D,,suburban,High,13.0,114200.0,9/26/2023
employed,25_34,PhD,Retail,suburban,Low,,8900.0,9/27/2023
,45-54,Ph.D,Health,rural,moderate,,44300.0,9/28/2023
,,Ph.D,Tech ,,low,,104400.0,9/29/2023
Unemployed,45-54,Ph.D,Retail,,HIGH,0.0,,9/30/2023
Employed,,Diploma,Retail,Urban,,14.0,129800.0,10/1/2023
,25_34,Bachelors,Retail,Mumbai,High,,66100.0,10/2/2023
EMPLOYED,18-24,Bachelors,Finance,Bangalore,Low,,114500.0,10/3/2023
Unemployed,18 to 24,high school,Retail,Mumbai,Low,,112900.0,10/4/2023
employed,18-24,Ph.D,,Mumbai,low,3.0,88300.0,10/5/2023
Employed,18 to 24,Bachelor's,Retail,rural,HIGH,,34400.0,10/6/2023
EMPLOYED,25_34,high school,Retail,Delhi,Low,26.0,144200.0,10/7/2023
Employed,45-54,Bachelors,Tech ,suburban,low,,8700.0,10/8/2023
UNEMPLOYED,18-24,Masters,Tech ,Urban,moderate,,13900.0,10/9/2023
unemployed,18-24,,Healthcare,,Low,4.0,,10/10/2023
unemployed,25_34,high school, Fintech,Mumbai,,,,10/11/2023
employed,18 to 24,Bachelors, Fintech,urban,High,17.0,78200.0,10/12/2023
unemployed,45-54,Diploma,Tech ,Bangalore,HIGH,,135100.0,10/13/2023
UNEMPLOYED,18-24,Bachelors,Education,urban,moderate,,,10/14/2023
EMPLOYED,35 - 44,Ph.D,,suburban,Low,,,10/15/2023
Employed,55+,PhD, Fintech,suburban,Medium,7.0,109300.0,10/16/2023
unemployed,25-34,Diploma,,Delhi,High,,57800.0,10/17/2023
EMPLOYED,25_34,Masters,,Mumbai,High,,,10/18/2023
,18 to 24,Bachelors,Health,,High,,113000.0,10/19/2023
Employed,25-34,Bachelor's,Retail,Delhi,HIGH,,32100.0,10/20/2023
UNEMPLOYED,18-24,High School, Fintech,Mumbai,Low,3.0,12600.0,10/21/2023
employed,25_34,Diploma,Retail,Hyderabad,HIGH,,71800.0,10/22/2023
Unemployed,25_34,PhD,Technology,Hyderabad,low,22.0,,10/23/2023
employed,25_34,Ph.D,Tech ,Urban,moderate,,101500.0,10/24/2023
EMPLOYED,25_34,Master,Health,Bangalore,,30.0,30500.0,10/25/2023
,18 to 24,Bachelor's,Healthcare,suburban,low,12.0,78300.0,10/26/2023
Unemployed,18-24,Masters,,Urban,High,24.0,98200.0,10/27/2023
EMPLOYED,45-54,Bachelor's,Education,suburban,,22.0,105000.0,10/28/2023
UNEMPLOYED,25_34,PhD,Health,urban,High,21.0,141700.0,10/29/2023
Employed,35 - 44,Bachelors, Fintech,suburban,,,146900.0,10/30/2023
EMPLOYED,55+,Bachelors,Retail,urban,Medium,,22100.0,10/31/2023
,45-54,high school,Health,Hyderabad,,13.0,83800.0,11/1/2023
Unemployed,18-24,PhD,,Delhi,Medium,,133600.0,11/2/2023
Employed,18-24,high school,Retail,rural,Low,15.0,102800.0,11/3/2023
employed,45-54,Ph.D,Finance,urban,HIGH,25.0,89300.0,11/4/2023
Unemployed,25-34,Master,Healthcare,urban,Low,,61200.0,11/5/2023
Unemployed,18 to 24,Bachelors,Technology,Delhi,,2.0,108300.0,11/6/2023
Unemployed,25_34,high school,,urban,HIGH,,128500.0,11/7/2023
Employed,18-24,PhD,,Urban,High,,117600.0,11/8/2023
employed,25-34,High School,Retail,rural,Medium,,21400.0,11/9/2023
UNEMPLOYED,35 - 44,,Technology,urban,Low,6.0,137300.0,11/10/2023
UNEMPLOYED,55+,PhD, Fintech,Bangalore,Low,,62300.0,11/11/2023
EMPLOYED,18-24,High School,Health,Mumbai,,15.0,88500.0,11/12/2023
unemployed,,high school,Education,,Low,,,11/13/2023
unemployed,25-34,PhD, Fintech,Hyderabad,Low,23.0,141200.0,11/14/2023
UNEMPLOYED,18 to 24,Master,Finance,,low,,142300.0,11/15/2023
,25_34,Ph.D,Education,Mumbai,low,1.0,115000.0,11/16/2023
UNEMPLOYED,55+,Masters,Tech ,Bangalore,High,21.0,,11/17/2023
EMPLOYED,45-54,PhD, Fintech,suburban,moderate,0.0,89600.0,11/18/2023
Unemployed,35 - 44,Masters,Education,suburban,moderate,0.0,42700.0,11/19/2023
employed,25_34,Bachelor's,Education,Mumbai,low,18.0,,11/20/2023
Employed,55+,Masters, Fintech,rural,Medium,25.0,38000.0,11/21/2023
Unemployed,18 to 24,High School,Healthcare,Delhi,moderate,20.0,39800.0,11/22/2023
,45-54,,,Hyderabad,Medium,1.0,31000.0,11/23/2023
EMPLOYED,35 - 44,Bachelors, Fintech,,High,12.0,61500.0,11/24/2023
EMPLOYED,35 - 44,Masters,,suburban,Medium,28.0,56800.0,11/25/2023
employed,35 - 44,PhD,Healthcare,suburban,,7.0,15900.0,11/26/2023
Unemployed,55+,Diploma,Retail,Urban,moderate,20.0,96600.0,11/27/2023
unemployed,55+,Diploma,Tech ,Delhi,High,,,11/28/2023
UNEMPLOYED,25-34,Ph.D,Healthcare,Bangalore,,,96100.0,11/29/2023
employed,35 - 44,Diploma,,rural,High,,,11/30/2023
Employed,18-24,Bachelor's,Finance,Bangalore,,26.0,72400.0,12/1/2023
Unemployed,55+,PhD,,Delhi,Medium,,143000.0,12/2/2023
employed,35 - 44,Master,Health,Hyderabad,High,,35700.0,12/3/2023
,,Bachelor's,,suburban,High,9.0,,12/4/2023
UNEMPLOYED,18-24,,Retail,urban,,13.0,8700.0,12/5/2023
,25_34,Diploma,Technology,,High,22.0,141800.0,12/6/2023
unemployed,35 - 44,,Health,urban,Low,,21500.0,12/7/2023
UNEMPLOYED,35 - 44,High School,Finance,,Medium,4.0,126000.0,12/8/2023
employed,,Ph.D,Healthcare,Hyderabad,Medium,,,12/9/2023
employed,25-34,Masters,,,Medium,,92700.0,12/10/2023
Unemployed,25-34,PhD,Retail,Urban,moderate,,,12/11/2023
unemployed,25_34,Master, Fintech,Delhi,High,,139900.0,12/12/2023
EMPLOYED,55+,Ph.D,Retail,urban,High,,26900.0,12/13/2023
Unemployed,18 to 24,Master,Tech ,Mumbai,Low,16.0,,12/14/2023
EMPLOYED,25_34,Bachelor's,,urban,High,3.0,5400.0,12/15/2023
UNEMPLOYED,55+,high school,Finance,,Low,,81100.0,12/16/2023
UNEMPLOYED,55+,Bachelors,Education,Mumbai,Medium,16.0,,12/17/2023
UNEMPLOYED,45-54,,Retail,Bangalore,HIGH,14.0,139700.0,12/18/2023
unemployed,45-54,Bachelor's, Fintech,suburban,low,,112900.0,12/19/2023
EMPLOYED,55+,Master,,Mumbai,moderate,30.0,109900.0,12/20/2023
Employed,18 to 24,high school,Finance,suburban,Medium,,112400.0,12/21/2023
Employed,,Bachelors,,suburban,moderate,26.0,108300.0,12/22/2023
Employed,18-24,PhD,Education,Delhi,HIGH,,71400.0,12/23/2023
UNEMPLOYED,,Bachelors,Education,urban,moderate,,17600.0,12/24/2023
Unemployed,18 to 24,Masters,Education,suburban,Low,10.0,51000.0,12/25/2023
