Status,Age_Group,Education,Industry,Location,Ai_Risk,Years_Of_Experience,Monthly_Salary_(Inr),Year,Month,Day
0,2,6,4,3,1,23,102800,2023,9,10
0,0,8,0,5,0,17,84100,2023,9,11
0,1,4,3,2,1,6,68500,2023,9,12
0,1,4,6,6,1,14,37000,2023,9,16
0,2,7,5,0,0,22,119400,2023,9,17
0,4,3,0,0,0,6,66200,2023,9,22
1,5,1,2,2,2,5,88000,2023,9,24
0,2,1,6,2,0,26,103000,2023,9,25
0,2,7,5,5,1,9,8900,2023,9,27
0,0,1,1,0,1,8,114500,2023,10,3
1,1,3,5,3,1,5,112900,2023,10,4
0,1,0,5,4,0,14,34400,2023,10,6
0,2,3,5,1,1,26,144200,2023,10,7
0,4,1,6,5,1,18,8700,2023,10,8
1,0,5,6,6,3,11,13900,2023,10,9
0,1,1,2,6,0,17,78200,2023,10,12
1,4,2,6,0,0,14,135100,2023,10,13
1,0,1,0,6,3,12,126500,2023,10,14
0,5,7,2,5,2,7,109300,2023,10,16
0,2,0,5,1,0,3,32100,2023,10,20
1,0,3,2,3,1,3,12600,2023,10,21
0,2,2,5,2,0,12,71800,2023,10,22
1,2,7,7,2,1,22,86650,2023,10,23
0,2,6,6,6,3,26,101500,2023,10,24
1,2,7,3,6,0,21,141700,2023,10,29
0,5,1,5,6,2,15,22100,2023,10,31
0,0,3,5,4,1,15,102800,2023,11,3
0,4,6,1,6,0,25,89300,2023,11,4
1,2,4,4,6,1,13,61200,2023,11,5
0,2,3,5,4,2,5,21400,2023,11,9
1,3,8,7,6,1,6,137300,2023,11,10
1,5,7,2,0,1,10,62300,2023,11,11
1,2,7,2,2,1,23,141200,2023,11,14
1,5,5,6,0,0,21,102300,2023,11,17
0,4,7,2,5,3,0,89600,2023,11,18
1,3,5,0,5,3,0,42700,2023,11,19
0,2,0,0,3,1,18,40350,2023,11,20
0,5,5,2,4,2,25,38000,2023,11,21
1,1,3,4,1,3,20,39800,2023,11,22
1,5,2,5,6,3,20,96600,2023,11,27
1,5,2,6,1,0,21,96350,2023,11,28
0,3,4,3,2,0,14,35700,2023,12,3
1,3,8,3,6,1,13,21500,2023,12,7
1,2,7,5,6,3,10,116300,2023,12,11
1,2,4,2,1,0,12,139900,2023,12,12
0,5,6,5,6,0,14,26900,2023,12,13
1,1,4,6,3,1,16,16150,2023,12,14
1,5,1,0,3,2,16,110400,2023,12,17
1,4,8,5,0,0,14,139700,2023,12,18
1,4,0,2,5,1,22,112900,2023,12,19
0,1,3,1,5,2,28,112400,2023,12,21
0,0,7,0,1,0,20,71400,2023,12,23
1,1,5,0,5,1,10,51000,2023,12,25
1,2,3,1,1,0,14,109800,2023,12,26
1,1,5,1,3,0,18,111300,2023,12,27
0,3,0,0,5,1,16,100400,2023,12,30
0,2,1,5,0,1,20,138600,2024,1,1
1,2,3,4,2,3,11,89350,2024,1,2
0,5,0,3,1,3,18,104800,2024,1,4
1,4,6,0,5,0,13,89566,2024,1,8
1,4,2,4,2,0,7,116000,2024,1,9
1,4,4,0,4,3,2,29300,2024,1,10
0,5,7,5,3,1,7,36200,2024,1,12
1,2,5,0,1,2,10,17800,2024,1,13
1,0,4,3,6,2,11,52900,2024,1,14
1,4,3,5,4,0,23,90300,2024,1,16
0,3,1,7,0,0,20,63200,2024,1,18
1,3,6,7,1,1,0,34800,2024,1,20
0,3,8,3,4,0,29,138400,2024,1,22
0,0,3,7,6,2,29,97300,2024,1,23
1,0,3,4,3,3,29,64300,2024,1,24
1,2,5,5,6,3,24,64900,2024,1,27
1,1,5,6,1,0,25,45800,2024,1,28
0,3,8,6,3,0,11,134400,2024,1,30
1,2,0,0,0,1,1,106500,2024,1,31
0,1,5,5,6,1,16,122100,2024,2,2
0,4,0,0,2,1,21,86300,2024,2,4
1,3,7,5,5,3,23,39500,2024,2,5
1,2,8,5,1,2,26,71000,2024,2,6
0,0,6,0,3,0,16,42600,2024,2,9
1,1,0,0,6,0,11,54100,2024,2,11
0,4,4,7,3,0,15,105850,2024,2,14
0,4,3,2,4,0,19,106100,2024,2,16
1,0,6,5,5,0,5,46300,2024,2,19
0,2,6,6,5,2,19,69400,2024,2,20
1,2,7,6,6,2,21,92500,2024,2,21
0,3,3,1,0,1,13,12400,2024,2,26
0,4,1,0,2,0,5,119200,2024,2,27
1,1,4,6,2,0,6,109300,2024,2,28
0,4,4,5,2,3,7,84700,2024,2,29
0,0,1,2,6,1,8,9100,2024,3,1
1,2,0,6,2,3,2,16000,2024,3,3
1,1,4,0,5,1,6,18300,2024,3,5
1,5,0,6,4,2,9,17400,2024,3,6
1,1,0,4,5,0,13,16500,2024,3,7
1,0,3,0,2,1,20,14700,2024,3,9
0,1,3,5,0,1,21,66250,2024,3,10
0,1,3,4,6,2,15,117800,2024,3,11
1,5,5,2,0,3,9,50800,2024,3,12
1,5,2,3,1,0,4,73300,2024,3,13
0,2,4,3,0,1,3,17700,2024,3,14
1,2,5,2,6,3,3,69100,2024,3,15
0,4,1,5,2,0,23,120500,2024,3,16
0,2,7,2,6,1,18,15000,2024,3,17
0,1,5,7,5,1,16,118650,2024,3,20
1,0,8,1,4,0,7,121300,2024,3,21
0,2,7,7,6,0,29,90500,2024,3,23
0,2,0,3,3,0,11,135400,2024,3,26
1,2,7,5,6,0,15,47700,2024,3,27
0,2,3,3,6,0,29,144500,2024,3,29
1,3,5,6,5,0,18,5100,2024,4,1
0,2,4,2,6,0,12,74500,2024,4,4
1,5,4,2,5,0,14,105900,2024,4,5
1,4,7,7,1,2,17,84500,2024,4,7
1,5,3,4,0,0,17,147100,2024,4,8
0,4,8,1,6,1,16,86900,2024,4,10
1,2,0,2,2,1,14,105200,2024,4,11
0,5,6,3,6,3,10,134500,2024,4,13
0,5,0,6,3,3,5,16200,2024,4,16
0,3,3,7,0,3,20,136000,2024,4,17
1,0,8,5,0,0,10,29800,2024,4,19
0,4,8,3,5,3,0,75100,2024,4,22
0,2,0,3,6,0,17,98200,2024,4,23
1,4,7,7,6,3,25,91000,2024,4,27
0,0,6,3,6,0,26,6800,2024,4,30
0,2,0,2,0,0,26,64900,2024,5,1
1,1,1,5,6,0,7,146300,2024,5,2
1,3,1,4,5,3,12,55600,2024,5,3
0,0,2,1,6,1,18,54100,2024,5,4
0,1,1,1,3,1,29,51100,2024,5,6
1,3,5,5,6,0,16,11000,2024,5,7
0,5,7,6,6,2,19,62800,2024,5,8
1,1,1,3,1,2,22,54400,2024,5,9
0,0,0,7,6,0,26,46000,2024,5,10
0,0,5,0,6,3,24,75750,2024,5,11
0,5,5,6,3,3,0,105500,2024,5,12
0,2,3,5,6,0,3,60200,2024,5,14
0,5,2,0,6,1,5,17400,2024,5,18
0,0,8,3,4,0,11,68800,2024,5,23
0,3,5,7,5,2,23,34900,2024,5,28
0,3,6,2,0,2,25,82800,2024,5,29
1,0,0,0,6,1,18,54500,2024,5,31
0,0,6,5,6,3,9,47100,2024,6,1
0,1,2,5,1,1,6,94500,2024,6,3
1,1,4,5,5,1,18,100400,2024,6,5
1,3,6,7,2,1,4,130500,2024,6,10
1,3,5,2,6,1,4,122900,2024,6,11
1,5,0,4,3,0,4,93400,2024,6,12
0,3,8,5,6,2,21,77700,2024,6,13
1,4,5,6,2,1,24,52400,2024,6,14
1,5,5,0,6,0,19,96700,2024,6,17
1,5,8,2,6,0,11,72100,2024,6,20
1,2,2,0,0,0,6,24600,2024,6,22
1,5,2,0,0,0,4,133700,2024,6,23
0,0,7,5,1,2,0,138700,2024,6,25
0,1,3,0,4,2,8,87400,2024,6,27
1,0,5,4,2,1,13,133300,2024,6,28
0,4,0,2,3,0,28,24100,2024,6,29
0,2,8,1,5,3,25,64600,2024,6,30
1,1,3,1,0,2,16,132900,2024,7,5
1,2,8,1,4,3,17,69500,2024,7,8
1,5,3,7,2,0,9,84700,2024,7,11
1,5,5,1,0,2,11,96400,2024,7,14
0,1,8,5,4,0,0,101400,2024,7,15
1,3,7,5,0,0,19,124400,2024,7,17
1,0,1,7,0,0,17,128000,2024,7,18
1,4,2,5,4,1,16,81350,2024,7,19
0,0,4,3,2,2,13,34700,2024,7,20
1,4,3,6,6,3,10,34700,2024,7,21
1,4,1,7,1,1,7,62400,2024,7,22
1,4,3,3,2,1,3,90100,2024,7,23
1,0,0,3,6,1,8,117800,2024,7,24
0,2,7,5,6,2,13,69500,2024,7,25
1,2,7,5,6,1,19,105000,2024,7,27
0,5,5,0,3,1,22,111850,2024,7,30
1,2,0,2,4,3,23,140600,2024,7,31
0,1,1,0,2,1,28,98850,2024,8,1
0,5,4,5,5,0,4,97800,2024,8,3
0,0,7,5,2,3,0,86600,2024,8,4
0,4,1,3,2,1,9,92200,2024,8,5
1,5,8,5,2,0,10,88800,2024,8,8
1,1,3,3,4,1,1,109300,2024,8,13
1,2,4,7,2,0,28,73000,2024,8,14
1,0,4,4,5,0,26,102400,2024,8,15
1,4,4,3,1,1,25,140300,2024,8,16
0,3,3,3,6,0,24,32800,2024,8,17
0,4,8,4,1,2,22,132400,2024,8,18
1,4,2,5,6,0,19,70900,2024,8,21
0,2,5,4,2,1,11,132100,2024,8,22
0,4,3,1,0,3,14,146900,2024,8,23
1,3,5,4,1,1,18,74600,2024,8,24
1,3,7,6,2,1,29,30700,2024,8,27
0,4,7,6,5,0,15,20950,2024,8,28
0,5,7,7,5,0,15,11200,2024,8,29
1,4,7,7,6,2,18,62600,2024,9,1
0,1,1,4,5,2,7,87900,2024,9,3
0,2,3,2,4,2,25,108500,2024,9,5
0,2,6,5,5,1,23,118800,2024,9,6
1,2,3,0,0,0,21,144100,2024,9,7
0,1,0,3,3,1,9,96800,2024,9,8
1,0,3,7,1,0,24,109800,2024,9,11
0,1,8,1,6,0,19,65500,2024,9,12
0,1,5,0,4,2,14,62100,2024,9,14
0,0,2,5,6,1,14,143200,2024,9,19
0,4,8,4,1,0,20,117450,2024,9,22
0,2,1,6,2,0,18,87800,2024,9,23
0,5,3,6,4,1,16,75000,2024,9,24
1,2,0,2,0,2,14,51800,2024,9,25
0,1,3,6,2,0,11,96300,2024,9,27
1,3,7,5,1,0,10,64500,2024,9,28
1,5,3,6,1,0,9,53033,2024,9,29
0,1,8,3,5,0,15,30100,2024,10,1
1,4,6,6,5,1,16,101500,2024,10,2
1,3,0,6,3,1,16,118500,2024,10,6
0,0,1,4,0,3,23,113800,2024,10,9
1,5,4,7,1,1,8,132700,2024,10,10
0,2,5,6,0,0,2,26800,2024,10,11
0,2,1,4,6,3,26,112300,2024,10,17
0,0,2,5,4,3,17,60900,2024,10,18
1,2,6,1,6,0,26,43900,2024,10,23
1,2,2,7,4,2,23,83500,2024,10,24
1,1,3,2,0,0,20,123100,2024,10,25
0,3,8,5,3,1,17,59500,2024,10,26
0,0,2,5,2,0,14,87450,2024,10,27
0,2,8,6,0,0,26,130800,2024,11,2
0,5,8,3,1,1,14,68800,2024,11,5
0,2,6,0,3,1,21,40200,2024,11,8
0,0,3,1,0,0,21,59833,2024,11,9
0,2,0,5,0,1,22,79466,2024,11,10
0,3,5,4,2,0,22,142900,2024,11,13
0,2,1,5,2,0,7,64800,2024,11,17
1,4,5,0,6,2,1,61450,2024,11,19
0,5,8,0,5,0,2,94900,2024,11,20
1,4,3,3,2,0,3,16400,2024,11,21
1,4,5,6,6,0,4,67300,2024,11,22
0,3,2,7,5,1,5,6300,2024,11,23
0,3,6,7,5,0,7,63200,2024,11,25
1,2,3,7,1,2,24,106700,2024,11,27
1,5,3,5,0,0,20,61100,2024,11,28
0,0,6,4,1,1,18,53800,2024,12,1
1,3,4,6,6,0,21,35200,2024,12,2
0,3,2,4,6,1,21,41050,2024,12,3
1,4,3,6,4,1,23,149200,2024,12,5
0,1,7,5,6,1,17,37700,2024,12,6
0,2,7,4,4,0,12,100300,2024,12,10
0,3,2,6,0,3,18,49900,2024,12,12
0,2,3,5,6,1,24,8300,2024,12,14
0,4,3,5,1,3,28,112100,2024,12,15
1,2,4,4,3,0,27,86900,2024,12,16
0,3,7,4,5,2,26,82000,2024,12,18
1,3,0,6,0,1,8,116700,2024,12,25
0,2,3,1,3,0,23,28450,2024,12,30
1,2,2,5,0,1,1,55600,2025,1,5
1,0,7,6,6,3,7,105200,2025,1,6
0,5,3,7,0,0,13,125450,2025,1,7
0,4,1,3,5,1,18,24000,2025,1,9
0,5,3,3,5,3,13,30300,2025,1,12
0,0,4,4,1,0,2,32900,2025,1,13
0,3,3,1,2,0,6,52900,2025,1,14
0,3,6,6,5,3,4,53900,2025,1,16
1,5,8,5,4,0,0,143300,2025,1,20
0,3,3,7,3,0,6,88500,2025,1,24
0,5,3,5,5,0,8,65500,2025,1,25
0,5,8,6,6,0,22,41300,2025,1,26
1,3,0,7,5,0,24,148100,2025,1,27
0,1,3,7,6,0,27,59900,2025,1,28
0,4,1,6,1,0,21,84800,2025,1,29
1,5,5,6,4,3,11,68800,2025,1,31
0,1,3,5,4,2,10,42000,2025,2,1
1,0,0,5,1,0,15,22600,2025,2,2
1,4,6,5,6,0,20,30500,2025,2,3
1,5,3,5,3,2,15,7300,2025,2,6
0,1,6,6,2,1,29,44500,2025,2,8
0,1,8,6,3,0,14,43200,2025,2,9
0,2,8,2,5,0,18,58425,2025,2,10
1,3,4,5,1,0,22,73650,2025,2,11
0,2,1,1,6,1,30,104100,2025,2,13
1,0,0,2,1,0,26,18100,2025,2,14
0,5,0,4,2,1,18,143100,2025,2,16
1,2,1,4,1,1,25,86550,2025,2,17
1,2,0,1,6,3,23,30000,2025,2,18
0,2,2,1,2,0,12,85600,2025,2,26
0,0,1,3,1,1,11,84400,2025,2,28
1,0,6,2,3,2,11,105500,2025,3,3
1,5,2,6,0,3,23,77300,2025,3,5
0,2,6,2,6,3,24,144200,2025,3,6
0,0,5,3,0,3,26,33200,2025,3,8
0,2,3,4,1,2,27,110300,2025,3,9
1,1,5,4,6,1,15,109000,2025,3,12
0,4,2,5,2,1,10,9900,2025,3,13
0,4,6,5,3,1,5,42850,2025,3,14
0,3,1,7,2,0,14,47300,2025,3,16
0,3,3,5,1,1,22,32300,2025,3,20
0,0,0,7,6,0,28,128000,2025,3,22
0,2,3,1,6,0,20,144700,2025,3,23
0,0,8,7,1,3,24,89800,2025,3,24
0,4,4,3,2,3,26,106200,2025,3,26
1,2,5,5,1,0,11,86800,2025,3,30
1,1,3,4,6,1,9,80800,2025,3,31
0,4,3,2,6,0,24,37100,2025,4,6
1,4,0,4,0,1,26,39333,2025,4,9
0,2,1,2,4,0,28,65150,2025,4,11
1,2,3,6,1,0,29,92200,2025,4,12
0,5,5,0,1,2,14,117100,2025,4,13
0,3,3,5,5,3,12,139600,2025,4,18
0,2,8,0,3,1,16,87900,2025,4,19
1,1,1,1,2,1,24,114400,2025,4,23
1,5,6,6,1,0,25,139500,2025,4,24
1,1,8,6,3,2,16,64500,2025,4,26
1,5,8,7,6,1,11,33300,2025,4,27
1,2,4,2,5,1,6,63000,2025,5,1
0,1,8,5,4,3,8,83400,2025,5,2
0,0,8,2,2,3,14,11900,2025,5,6
1,0,5,1,4,3,17,94800,2025,5,7
1,2,3,5,5,3,20,113500,2025,5,8
0,2,0,3,5,1,13,43900,2025,5,9
1,0,1,7,3,1,6,25900,2025,5,10
1,1,5,1,5,1,19,121400,2025,5,12
1,2,7,0,3,1,20,145700,2025,5,13
1,1,5,2,6,1,1,105700,2025,5,15
1,2,2,3,0,3,7,68600,2025,5,18
0,5,2,4,1,0,22,102000,2025,5,20
1,5,8,4,2,1,29,37800,2025,5,21
0,0,1,2,5,0,22,120200,2025,5,23
0,4,1,2,1,1,16,28600,2025,5,24
1,3,3,2,3,1,10,105900,2025,5,25
0,3,1,5,5,1,4,77600,2025,5,29
0,2,3,2,0,0,4,94100,2025,5,30
0,2,3,3,1,0,4,6400,2025,5,31
1,2,6,7,4,1,4,145700,2025,6,2
1,4,8,4,1,1,11,56000,2025,6,3
1,3,4,1,6,1,26,108400,2025,6,5
1,1,3,1,5,1,10,24700,2025,6,10
0,3,3,5,2,0,15,81766,2025,6,13
1,5,5,5,0,0,16,117800,2025,6,14
1,5,5,4,5,1,20,25000,2025,6,16
1,4,5,2,0,3,8,43400,2025,6,17
1,2,2,5,3,1,12,121600,2025,6,18
0,2,8,2,6,1,21,16200,2025,6,20
1,5,5,5,5,1,17,87600,2025,6,23
0,2,6,1,4,3,14,105966,2025,6,27
0,2,8,3,0,3,17,34400,2025,6,30
1,1,5,2,2,1,18,43700,2025,7,1
0,2,2,1,0,0,21,39700,2025,7,4
1,5,2,4,2,1,19,22900,2025,7,5
0,0,5,1,4,0,17,6400,2025,7,6
0,3,6,5,5,0,15,60700,2025,7,7
0,4,6,3,1,2,10,146200,2025,7,10
1,1,0,5,3,0,9,87150,2025,7,11
0,2,3,5,6,2,21,28100,2025,7,12
1,5,8,2,2,3,17,142800,2025,7,13
0,4,1,2,3,3,12,32900,2025,7,16
1,2,3,7,3,1,17,63366,2025,7,18
1,3,0,0,6,3,20,78600,2025,7,19
1,5,8,5,1,0,27,47600,2025,7,20
0,3,1,5,5,0,17,56700,2025,7,22
1,2,7,5,4,1,12,18300,2025,7,23
1,3,6,5,0,2,11,41800,2025,7,27
0,4,7,2,2,1,26,110600,2025,7,30
0,1,8,1,3,0,8,115800,2025,8,2
0,2,1,4,1,3,7,125000,2025,8,3
0,5,5,4,2,1,6,145400,2025,8,4
0,1,3,3,0,1,5,108300,2025,8,5
1,2,3,6,3,1,30,64500,2025,8,6
1,0,7,5,6,1,17,71300,2025,8,7
1,5,7,6,6,0,13,69400,2025,8,8
0,3,4,2,2,2,9,92500,2025,8,9
0,0,5,4,3,2,23,98700,2025,8,12
0,4,3,2,4,3,21,67400,2025,8,13
1,0,2,5,3,1,17,12400,2025,8,15
1,2,6,4,6,0,2,13100,2025,8,22
1,2,0,4,6,1,1,114700,2025,8,23
0,1,2,5,5,0,0,7900,2025,8,26
1,2,6,3,4,1,20,118600,2025,8,28
1,5,3,4,6,1,9,95400,2025,8,29
1,2,0,1,3,1,17,72200,2025,8,30
1,1,6,3,6,0,20,129300,2025,9,1
0,5,2,5,1,3,14,126500,2025,9,2
0,2,5,4,4,1,8,36900,2025,9,3
1,0,3,7,3,2,10,89900,2025,9,8
0,0,0,0,2,0,14,147900,2025,9,9
1,4,6,6,1,0,9,32300,2025,9,11
0,5,6,0,6,0,18,66800,2025,9,12
1,2,2,5,4,1,28,70600,2025,9,13
0,3,6,5,0,0,11,51800,2025,9,15
0,2,5,4,0,3,9,119000,2025,9,16
0,0,3,4,6,1,7,8100,2025,9,17
1,2,1,0,4,1,25,137200,2025,9,22
1,2,8,2,0,2,10,148600,2025,9,23
0,1,6,1,3,2,0,133700,2025,9,25
1,5,6,0,4,2,10,112100,2025,9,26
1,4,2,2,5,0,20,115500,2025,9,27
0,1,7,7,6,1,30,122500,2025,9,28
1,0,3,0,5,0,18,127566,2025,9,29
1,0,4,5,6,0,7,132633,2025,9,30
1,1,3,5,6,0,13,114600,2025,10,3
1,2,0,4,2,2,16,145500,2025,10,4
1,1,3,2,5,1,18,65700,2025,10,5
0,2,4,0,1,2,20,94700,2025,10,6
0,0,1,5,5,0,22,123700,2025,10,7
1,1,5,2,4,0,16,44500,2025,10,14
1,2,7,3,6,0,16,107300,2025,10,15
1,2,2,2,6,1,15,110800,2025,10,16
0,2,1,3,1,3,15,132300,2025,10,18
0,2,3,1,1,3,16,122400,2025,10,20
1,2,4,4,1,3,8,16300,2025,10,25
1,4,5,4,5,1,13,31350,2025,10,26
0,5,0,5,3,0,18,46400,2025,10,27
1,5,2,3,5,0,24,59800,2025,10,28
1,4,2,5,1,1,16,58600,2025,10,30
0,5,7,5,6,3,4,126700,2025,11,2
1,4,5,4,2,1,23,116900,2025,11,4
0,4,3,3,5,3,27,10300,2025,11,6
1,4,3,3,6,1,6,63900,2025,11,14
0,2,5,5,6,1,3,50600,2025,11,15
1,5,4,3,3,1,25,70500,2025,11,17
1,2,0,7,2,0,4,103700,2025,11,18
0,0,7,5,0,0,12,89400,2025,11,19
1,5,4,4,6,1,21,102000,2025,11,20
0,3,2,7,4,1,3,28100,2025,11,22
1,0,4,5,6,3,5,75150,2025,11,26
1,1,4,4,6,2,15,61700,2025,11,27
0,2,8,5,0,1,26,91000,2025,11,28
0,5,2,4,5,0,27,137300,2025,11,30
0,1,8,3,6,0,28,5100,2025,12,2
1,3,2,5,2,0,29,121700,2025,12,3
0,1,1,0,3,1,22,53800,2025,12,4
1,0,1,2,5,0,16,17700,2025,12,5
0,2,3,7,6,3,29,12750,2025,12,6
0,0,2,1,6,0,21,40766,2025,12,10
1,4,5,1,4,1,27,109900,2025,12,13
0,1,4,2,0,1,29,37800,2025,12,14
1,0,5,5,6,0,3,53400,2025,12,15
1,2,3,5,6,2,25,100600,2025,12,16
1,3,2,1,0,2,2,34200,2025,12,20
0,3,4,3,3,2,5,66100,2025,12,23
0,5,3,3,6,2,7,127100,2025,12,25
0,0,6,5,0,2,9,46700,2025,12,26
1,4,4,7,6,1,18,41900,2025,12,29
0,2,8,7,4,0,20,8800,2025,12,30
0,2,4,6,2,1,15,24100,2025,12,31
1,4,5,5,5,1,11,39400,2026,1,1
1,2,1,7,5,1,28,125100,2026,1,3
1,2,1,4,3,1,23,128500,2026,1,4
